Code,Municipality,People,Males,Females,Asymmetry,State Code
09012,Tlalpan,650567,312139,338428,-0.04040936598382642,09
09013,Xochimilco,415007,205305,209702,-0.010595002012014255,09
09008,La Magdalena Contreras,239086,114492,124594,-0.04225257857005429,09
09002,Azcapotzalco,414711,196053,218658,-0.05450783798838227,09
09014,Benito Juárez,385439,176410,209029,-0.08462817722129831,09
09015,Cuauhtémoc,531831,251725,280106,-0.05336469667996036,09
09010,Álvaro Obregón,727034,346041,380993,-0.048074780546714456,09
09005,Gustavo A. Madero,1185772,571233,614539,-0.03652135486417288,09
09004,Cuajimalpa de Morelos,186391,88642,97749,-0.048859655240864636,09
09016,Miguel Hidalgo,372889,172667,200222,-0.07389598513230479,09
09006,Iztacalco,384326,182534,201792,-0.0501085016366314,09
09003,Coyoacán,620416,292491,327925,-0.05711329172684135,09
09017,Venustiano Carranza,430978,203651,227327,-0.05493551875037705,09
09011,Tláhuac,360265,175210,185055,-0.027327106435540503,09
09007,Iztapalapa,1815786,880998,934788,-0.029623534931979868,09
09009,Milpa Alta,130582,64192,66390,-0.016832335237628462,09
12006,Apaxtla,12389,5949,6440,-0.03963193155218339,12
12017,Cocula,14707,7060,7647,-0.0399129666145373,12
12026,Cuetzala del Progreso,9166,4443,4723,-0.030547676194632337,12
12028,Chilapa de Álvarez,120790,57940,62850,-0.0406490603526782,12
12029,Chilpancingo de los Bravo,241717,115443,126274,-0.044808598485005194,12
12031,General Canuto A. Neri,6301,3042,3259,-0.034438977940009524,12
12032,General Heliodoro Castillo,36586,18348,18238,0.003006614552014432,12
12034,Huitzuco de los Figueroa,37364,17935,19429,-0.0399850123113157,12
12039,Juan R. Escudero,24364,11949,12415,-0.019126580200295517,12
12040,Leonardo Bravo,24720,12231,12489,-0.010436893203883494,12
12042,Mártir de Cuilapan,17702,8504,9198,-0.03920460964862727,12
12044,Mochitlán,11376,5617,5759,-0.012482419127988748,12
12051,Quechultenango,34728,16855,17873,-0.029313522229900944,12
12053,San Marcos,48501,23896,24605,-0.014618255293705284,12
12056,Tecoanapa,44079,21733,22346,-0.013906849066448877,12
12058,Teloloapan,53769,25442,28327,-0.053655452026260486,12
12059,Tepecoacuilco de Trujano,30470,14612,15858,-0.040892681325894326,12
12061,Tixtla de Guerrero,40058,19369,20689,-0.03295221928204104,12
12074,Zitlala,22587,10750,11837,-0.04812502767078408,12
12075,Eduardo Neri,46158,22634,23524,-0.019281597989514277,12
12035,Iguala de la Independencia,140363,67611,72752,-0.03662646138939749,12
12021,Coyuca de Benítez,73460,35960,37500,-0.020963789817587803,12
12005,Alpoyeca,6637,3114,3523,-0.06162422781377128,12
12008,Atenango del Río,8390,4015,4375,-0.04290822407628129,12
12009,Atlamajalcingo del Monte,5706,2728,2978,-0.043813529617946025,12
12010,Atlixtac,26341,12674,13667,-0.03769788542576212,12
12012,Ayutla de los Libres,62690,30706,31984,-0.020386026479502314,12
12013,Azoyú,14429,7102,7327,-0.015593596229814956,12
12018,Copala,13636,6717,6919,-0.014813728366089763,12
12019,Copalillo,14456,6860,7596,-0.0509131156613171,12
12020,Copanatoyac,18855,9049,9806,-0.04014850172368072,12
12024,Cualác,7007,3344,3663,-0.04552590266875981,12
12025,Cuautepec,15115,7554,7561,-0.00046311610982467747,12
12030,Florencio Villarreal,20175,9967,10208,-0.011945477075588599,12
12033,Huamuxtitlán,14393,6823,7570,-0.05190022927812131,12
12036,Igualapa,10815,5290,5525,-0.021729079981507166,12
12041,Malinaltepec,29599,14110,15489,-0.046589411804452856,12
12045,Olinalá,24723,11878,12845,-0.03911337620838895,12
12046,Ometepec,61306,29891,31415,-0.0248589045117933,12
12052,San Luis Acatlán,42360,20867,21493,-0.0147780925401322,12
12063,Tlacoapa,9967,4734,5233,-0.050065215210193637,12
12066,Tlapa de Comonfort,81419,38983,42436,-0.04241024822215945,12
12069,Xalpatláhuac,12240,5690,6550,-0.07026143790849673,12
12070,Xochihuehuetlán,7079,3289,3790,-0.07077270800960588,12
12071,Xochistlahuaca,28089,13646,14443,-0.028374096621453238,12
12072,Zapotitlán Tablas,10516,5037,5479,-0.04203119056675542,12
12076,Acatepec,32792,16070,16722,-0.01988289826787021,12
