,Municipality,Code,People,Males,Females,Asymmetry
0,Guadalupe,26,678006,336731,341275,-0.0067020055869712065
1,Juárez,31,256970,129324,127646,0.006529945129781687
2,Pesquería,41,20843,10737,10106,0.03027395288586096
3,Santiago,49,40469,20341,20128,0.005263287948800316
4,García,18,143668,72640,71028,0.011220313500570761
5,Santa Catarina,48,268955,134388,134567,-0.0006655388447881615
6,Monterrey,39,1135550,561656,573894,-0.010777156444013914
7,San Pedro Garza García,19,122659,57622,65037,-0.06045214782445642
8,Carmen,10,16092,8175,7917,0.01603281133482476
9,Gral. Escobedo,21,357937,180332,177605,0.007618659149515138
10,Salinas Victoria,45,32660,16800,15860,0.02878138395590937
11,Gral. Zuazua,25,55213,27787,27426,0.006538315251842863
12,Apodaca,06,523370,263374,259996,0.006454324856220265
13,Ciénega de Flores,12,24526,12476,12050,0.017369322351789937
14,Hidalgo,47,16604,8318,8286,0.001927246446639364
15,Abasolo,01,2791,1406,1385,0.007524184879971337
16,China,13,10864,5585,5279,0.02816642120765832
17,Gral. Bravo,20,5527,2876,2651,0.04070924552198299
18,Los Aldamas,03,1374,708,666,0.03056768558951965
19,Dr. Coss,15,1716,889,827,0.03613053613053613
20,Villaldama,51,4113,2073,2040,0.008023340627279359
21,Sabinas Hidalgo,44,34671,17214,17457,-0.007008739292203859
22,San Nicolás de los Garza,46,443273,219337,223936,-0.010375096159702937
23,Bustamante,08,3773,1890,1883,0.0018552875695732839
24,Linares,33,78669,39104,39565,-0.005859995678094294
25,Vallecillo,50,1971,1065,906,0.0806697108066971
26,Rayones,43,2628,1363,1265,0.03729071537290715
27,Los Ramones,42,5359,2720,2639,0.015114760216458294
28,Parás,40,1034,512,522,-0.009671179883945842
29,Montemorelos,38,59113,29370,29743,-0.006309948742239439
30,Mina,37,5447,2774,2673,0.01854231687167248
31,Mier y Noriega,36,7095,3555,3540,0.0021141649048625794
32,Melchor Ocampo,35,862,433,429,0.004640371229698376
33,Marín,34,5488,2808,2680,0.023323615160349854
34,Lampazos de Naranjo,32,5349,2700,2649,0.009534492428491307
35,Iturbide,30,3558,1844,1714,0.03653738055087127
36,Hualahuises,29,6914,3424,3490,-0.009545849002024877
37,Higueras,28,1594,829,765,0.04015056461731493
38,Los Herreras,27,2030,1001,1029,-0.013793103448275862
39,Gral. Zaragoza,24,5942,3052,2890,0.027263547627061596
40,Gral. Treviño,23,1277,626,651,-0.01957713390759593
41,Gral. Terán,22,14437,7234,7203,0.0021472605111865347
42,Galeana,17,39991,20237,19754,0.012077717486434448
43,Dr. González,16,3345,1713,1632,0.0242152466367713
44,Dr. Arroyo,14,35445,17849,17596,0.007137819156439554
45,Cerralvo,11,7855,4049,3806,0.030935709739019733
46,Cadereyta Jiménez,09,86445,43939,42506,0.016577014286540574
47,Aramberri,07,15470,7869,7601,0.017323852617970266
48,Anáhuac,05,18480,9219,9261,-0.0022727272727272726
49,Allende,04,32593,16440,16153,0.008805571748534961
50,Agualeguas,02,3443,1777,1666,0.03223932616903863
